    0.857040634456549988E+00    0.802444968981787667E+02    0.109829653569160235E+01    0.176994383172373904E+01    0.800037549737205200E+00    0.817405316730213521E-01    0.920030065257925050E-01   -0.159652866739543533E+06
    0.861714497054548723E+00    0.788925676024093292E+02    0.110087634160040304E+01    0.176653187281589830E+01    0.800137965546830365E+00    0.910279220405625783E-01    0.918756690187520625E-01   -0.159651899038508942E+06
    0.865215232790730759E+00    0.799979499719524654E+02    0.109955736093730061E+01    0.176877486449804677E+01    0.800074725606780279E+00    0.892793927550423611E-01    0.898911049703237514E-01   -0.159651339539129753E+06
    0.861388213038190020E+00    0.800683629789316882E+02    0.109899556398022114E+01    0.177128850249362180E+01    0.800050258835880101E+00    0.868884795342967226E-01    0.888826690106462730E-01   -0.159651157214835985E+06
    0.864568813201490816E+00    0.792860074828355437E+02    0.110539304461323140E+01    0.176264819606195444E+01    0.800076411343347171E+00    0.891099844484449510E-01    0.929633853812096428E-01   -0.159650607978768880E+06
    0.858855607680027777E+00    0.801803743360809733E+02    0.109876388294596072E+01    0.177072782268426798E+01    0.800126108617980170E+00    0.892678746330345246E-01    0.912186020285984528E-01   -0.159650299361369805E+06
    0.863543355023161707E+00    0.791213456254576357E+02    0.110524663504819531E+01    0.176419376733342070E+01    0.800032833646770358E+00    0.832778481089434391E-01    0.922357682138145729E-01   -0.159650161740189156E+06
    0.860028971675896647E+00    0.797433560304392444E+02    0.110262977216975822E+01    0.176511488173623676E+01    0.800094554211826181E+00    0.910244260402768568E-01    0.969305717294371150E-01   -0.159650093171479355E+06
    0.860443272387992009E+00    0.798285984164146356E+02    0.109869640924782375E+01    0.177064420637759268E+01    0.800048134425874635E+00    0.883169838826087100E-01    0.989867008241326757E-01   -0.159650059671922791E+06
    0.857645495421112347E+00    0.797764311238096013E+02    0.109877494551704324E+01    0.176632366186175105E+01    0.800039141830655387E+00    0.912276836719787682E-01    0.950554353540395969E-01   -0.159649958171783830E+06
    0.861042276443217958E+00    0.799905943887130633E+02    0.109635337119262810E+01    0.177333150729590616E+01    0.800099478800094133E+00    0.867484283486700397E-01    0.949029908458105531E-01   -0.159649823057287431E+06
    0.860565605853082172E+00    0.806448205017580193E+02    0.109852593861378645E+01    0.176769668626149534E+01    0.800144264965541807E+00    0.877580383614791210E-01    0.924504086664796054E-01   -0.159649640064789972E+06
    0.864319271565945568E+00    0.795049833641705987E+02    0.110473287468124171E+01    0.176388449661242630E+01    0.800081022933279762E+00    0.894096426252088128E-01    0.936345150252968633E-01   -0.159649605500599777E+06
    0.860310143091368440E+00    0.798609392108103719E+02    0.110002872303071708E+01    0.176771374367733580E+01    0.800226361038039902E+00    0.864512123883172112E-01    0.932528576748461041E-01   -0.159649390650138754E+06
    0.860159098960576518E+00    0.795726235617490403E+02    0.110022364420993046E+01    0.176905389910673461E+01    0.800076377041308517E+00    0.835873330047399860E-01    0.907583091091063582E-01   -0.159649129234038817E+06
    0.866517841078664253E+00    0.800670982056118561E+02    0.109786929630512287E+01    0.176909554831793892E+01    0.800024151577949261E+00    0.853080020244826182E-01    0.934297149625573364E-01   -0.159648802867845254E+06
    0.861941889010988449E+00    0.791483955242355961E+02    0.109821773340351969E+01    0.176881083877963197E+01    0.800070385485605717E+00    0.864456420705284334E-01    0.972529744922483591E-01   -0.159648792005177529E+06
    0.863189088883722588E+00    0.800292106286188982E+02    0.110248504183347240E+01    0.176578377039409018E+01    0.800153922714743504E+00    0.877401285096849615E-01    0.947852567928219036E-01   -0.159648778427693178E+06
    0.861041214266408117E+00    0.803786850153159378E+02    0.110069229226467291E+01    0.176907585663187605E+01    0.800070675899421491E+00    0.905884024021651052E-01    0.953550230548656508E-01   -0.159648630575145886E+06
    0.861833105476989436E+00    0.795264057538162206E+02    0.110498402530140383E+01    0.176180695379834540E+01    0.800011760856090270E+00    0.908012998650831876E-01    0.946565838275054833E-01   -0.159648547748958692E+06
    0.860180023408148475E+00    0.793792977727245415E+02    0.109891761305215563E+01    0.176649741297370033E+01    0.800053622766157768E+00    0.842450952580912904E-01    0.901637658138910308E-01   -0.159648413111219241E+06
    0.860338963558319181E+00    0.798798748490800534E+02    0.109821744800362553E+01    0.176635911170848159E+01    0.800048601851917174E+00    0.876947546008983447E-01    0.898009794331651179E-01   -0.159648382744381495E+06
