

    0.101057284247270743E-98    0.170979823292465881E+03    0.872069908433864734E-02   -0.774007318205138101E-02    0.934079607776257426E+00    0.588220629538270714E+02    0.157124362157391695E+01    0.789266983261361493E-01    0.116599810526444031E+03    0.100421773592818717E+00    0.841735910575148322E-01    0.738787248481987735E+00    0.544771014559412805E+02    0.166734356927244448E+00    0.143347277960307395E+01    0.278556686590363345E+01
    0.133694431589290041E-98    0.170380084676729894E+03    0.823641740657324664E-02   -0.118351468697283201E-01    0.923142267145720785E+00    0.556791889520246812E+02    0.157663308051064610E+01    0.760207279509181322E-01    0.115754291655407158E+03    0.986205387196872341E-01    0.802692106508974962E-01    0.754413490546816723E+00    0.552128178091874133E+02    0.163304258480919035E+00    0.144637413231278678E+01    0.282155627873419590E+01
    0.133637160695844760E-98    0.170340941603422834E+03    0.849418033430943305E-02   -0.539448794268256124E-02    0.933394908836724380E+00    0.605926497288791452E+02    0.157176110806308711E+01    0.797973155554611707E-01    0.116377259861820903E+03    0.988147344146429463E-01    0.867365549059458535E-01    0.743147714955036731E+00    0.538775367571988397E+02    0.169565823090651907E+00    0.141896849726699070E+01    0.277092947302487058E+01
    0.157731538932239190E-98    0.169969409411713059E+03    0.854239406121201292E-02   -0.867004041085943020E-02    0.922226485243561767E+00    0.571382668966069573E+02    0.157432706572958159E+01    0.770111668745264988E-01    0.115774210189866153E+03    0.990198042422272690E-01    0.829528640835830444E-01    0.749171542009411828E+00    0.543870798279741052E+02    0.162651778203662112E+00    0.145697102808138612E+01    0.280503827485793877E+01
    0.158237996797429304E-98    0.169922997929064877E+03    0.790223973063783162E-02   -0.103906427899435275E-01    0.923494402835079109E+00    0.549799628547114594E+02    0.157462843977409839E+01    0.759403090501688666E-01    0.116174407892650180E+03    0.997329677657843305E-01    0.817609404775985898E-01    0.750249649640615024E+00    0.547838106834662071E+02    0.164656704576062796E+00    0.144436990531649023E+01    0.280065288616246733E+01
    0.235548580965037219E-98    0.169087363984555850E+03    0.897796154977550595E-02   -0.850006546323014978E-02    0.935613690273433996E+00    0.594065048704092789E+02    0.157234195373317176E+01    0.797967308664589564E-01    0.116624169085915582E+03    0.994281566820116730E-01    0.839315737755701868E-01    0.726193102964299397E+00    0.536618644020855129E+02    0.165974695642476411E+00    0.143133619238738241E+01    0.279696230851006433E+01
    0.248628999868429324E-98    0.168939274696112989E+03    0.590390653917912452E-02   -0.123432095428662666E-01    0.914450303348590010E+00    0.558087081691400826E+02    0.157577965128618969E+01    0.753067948337444448E-01    0.114575505035482834E+03    0.996555194964238999E-01    0.813794509351639939E-01    0.764831700246291435E+00    0.548847985869581834E+02    0.158459309890361305E+00    0.147713956897231014E+01    0.283487271904782911E+01
    0.290424832448020435E-98    0.168588508765158622E+03    0.811061360219606821E-02   -0.683554748903408751E-02    0.935520749404089802E+00    0.598908425624433889E+02    0.157251703293589817E+01    0.797357441087412078E-01    0.116518978488156677E+03    0.987224776457159420E-01    0.844579668546177054E-01    0.725950074439713156E+00    0.535553442468873868E+02    0.168698320102261184E+00    0.141923575900812149E+01    0.278393395264172927E+01
    0.571855010740092720E-98    0.167193427383073868E+03    0.877177944133703848E-02   -0.112304498645392683E-01    0.920943692151710680E+00    0.557670936671224382E+02    0.157729464520788598E+01    0.760378308915734547E-01    0.115526408223593947E+03    0.995286775700477688E-01    0.798183823598553333E-01    0.755479868706156354E+00    0.552895299266256188E+02    0.162905787055286050E+00    0.144659911990785428E+01    0.282400524346051096E+01
    0.605398473557636362E-98    0.167039424595704986E+03    0.918483989473379420E-02   -0.835314559363534159E-02    0.924812816228791412E+00    0.584480794154265126E+02    0.157257080854842002E+01    0.779559584601463018E-01    0.115965052865817938E+03    0.100519982091407292E+00    0.833829518039695822E-01    0.750110051296680957E+00    0.547032969634476700E+02    0.165350672281993322E+00    0.144154890501929578E+01    0.278658288448697711E+01
