    0.209063318087988534E+02    0.373247348945000512E+01    0.407936557531481903E+01    0.913608546975398284E+01    0.106877195360730468E+02    0.729920565511591679E+01    0.167665599414778796E+02    0.153298894149208209E+02    0.624339323788252520E+00    0.518964259182463049E-02    0.325298421508890306E+04
    0.793660232322434567E+01    0.137173417969888316E+02    0.525694690063838532E+01    0.294398765789947348E+02    0.167650657542766339E+02    0.493733154790648676E+01    0.169367737898032473E+02    0.159860417875792233E+02    0.758520441757604358E+00    0.540786228604677333E-02    0.325434429775763692E+04
    0.132018874390783214E+02    0.806971572847218965E+01    0.361363148285080360E+01    0.212993524591714234E+02    0.164551919972923351E+02    0.679343894445460705E+01    0.162297520518257983E+02    0.150710232090132976E+02    0.751712931534490147E+00    0.533158684973989751E-02    0.325469508655370828E+04
    0.263443087396600504E+02    0.482083249870475328E+01    0.709266603784416283E+01    0.471287508624869211E+01    0.101404772175821130E+02    0.812922337706527109E+01    0.165146773096728694E+02    0.154614805725578250E+02    0.642238238213120538E+00    0.414133339189085275E-02    0.325543446349165242E+04
    0.253994083670300697E+02    0.446148709613455896E+01    0.740484186630839591E+01    0.572781803511183440E+01    0.104117486136460720E+02    0.933437722590654850E+01    0.162224815861388798E+02    0.156961405078983489E+02    0.644988050342181540E+00    0.353765890784862175E-02    0.325565664101217590E+04
    0.244253878718560102E+02    0.759319217292768300E+01    0.986297937815930936E+01    0.507466208037005551E+01    0.129378406009492508E+02    0.132333142876740322E+02    0.164135163610013812E+02    0.157709299865292536E+02    0.677449652451594608E+00    0.482564098636357238E-02    0.325581543292356400E+04
    0.109272290580149143E+02    0.932818418048958620E+01    0.366735440558286552E+01    0.232344272422420417E+02    0.128721260915467948E+02    0.443410016532148266E+01    0.161288832915882416E+02    0.158012755951280930E+02    0.653782949945602931E+00    0.442167441882850530E-02    0.325610198507967789E+04
    0.273772796691313971E+02    0.486959200544621584E+01    0.915827485627211502E+01    0.276999238115665669E+01    0.110457734696715804E+02    0.108751661191129259E+02    0.165281647996508454E+02    0.157810066922752164E+02    0.674189692014464659E+00    0.446584537267201778E-02    0.325628917684707358E+04
    0.149719082960611960E+02    0.722608786029623040E+01    0.291321609391887248E+01    0.200469730678294340E+02    0.132483728326899968E+02    0.597304334313499385E+01    0.165691687204544493E+02    0.152790092022422037E+02    0.701723716262215857E+00    0.336652487139082850E-02    0.325639248323651327E+04
    0.276277531591285239E+02    0.331835348340396408E+01    0.613717441925799445E+01    0.436854141766841941E+01    0.958358155600313744E+01    0.961773099126416753E+01    0.165535338006639670E+02    0.156600254512099220E+02    0.664841430234290875E+00    0.343240294148732493E-02    0.325639525869942918E+04
    0.290488118842745067E+02    0.280292243011887177E+01    0.750171341508996736E+01    0.209720184584009139E+01    0.994792393286580712E+01    0.903386366182036227E+01    0.163434087100290597E+02    0.156664652712425365E+02    0.690427369383244338E+00    0.439409088719465348E-02    0.325668702493373348E+04
    0.294618693387216979E+02    0.177454260408528874E+01    0.626997037646351707E+01    0.256144059057310969E+01    0.111873350835073850E+02    0.134356057634325960E+02    0.160998846934232347E+02    0.154185646846117024E+02    0.707621237568830108E+00    0.442836062558144092E-02    0.325678107099077351E+04
    0.212638804342362420E+02    0.361073977858891215E+01    0.710918799387821032E+01    0.883780983657661778E+01    0.127034590976740134E+02    0.110587950260609595E+02    0.160274439419429200E+02    0.159301246095762679E+02    0.694925653951900868E+00    0.433568698621469937E-02    0.325680536634498185E+04
    0.859652114000346934E+01    0.902802439157759906E+01    0.483606473370362977E+01    0.294214341490712883E+02    0.159935791520503923E+02    0.430148833622018856E+01    0.162544046713841226E+02    0.157781354830004226E+02    0.659216358800029711E+00    0.372296043168358903E-02    0.325686051066639902E+04
    0.957530449231693304E+01    0.127983141079245968E+02    0.789325474958843110E+01    0.276753491232800286E+02    0.213208695476800330E+02    0.493480488817760765E+01    0.166116799170892087E+02    0.154477751148446991E+02    0.705592276337409841E+00    0.442903730523566599E-02    0.325690927118297896E+04
    0.162367192018974791E+02    0.606192326141008397E+01    0.583018944817342000E+01    0.153167454492511830E+02    0.144018050144905736E+02    0.107855065666361511E+02    0.163464857688379439E+02    0.158382026138938485E+02    0.695778148835271115E+00    0.427646465364120258E-02    0.325691082431113045E+04
    0.279816462081529735E+02    0.268542619380142211E+01    0.105298267890020085E+02    0.246628353006589762E+01    0.123160802463167620E+02    0.108186243476391315E+02    0.161175820421893192E+02    0.158815662009132907E+02    0.714294383677455347E+00    0.425774631161933773E-02    0.325694280158078936E+04
    0.172325412801099702E+02    0.728058953036831724E+01    0.659433366293589796E+01    0.160909647058202445E+02    0.144380001958411857E+02    0.703703062646144062E+01    0.168879721925960382E+02    0.154402586550989742E+02    0.733776304446836836E+00    0.382409222180265553E-02    0.325699722378063188E+04
    0.266960355897001449E+02    0.584705747639796414E+01    0.851183879043059299E+01    0.500469113384842057E+01    0.116592258193389853E+02    0.116818775191741793E+02    0.161780313770049631E+02    0.156961951870986525E+02    0.728790384608154818E+00    0.399858667623533351E-02    0.325699966666142336E+04
    0.192832822348054727E+02    0.805906551082233591E+01    0.761453925599660053E+01    0.117423409739330857E+02    0.137032761954729807E+02    0.120302402196853997E+02    0.162573570422481275E+02    0.158847426999767070E+02    0.710379212528334136E+00    0.413934506274181956E-02    0.325704835268131683E+04
