Nested Sampling Global Log-Evidence           :    0.424677706857431349E+04  +/-    0.107752597486038182E+01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.424677706857431349E+04 +/-    0.107752597486038182E+01
Local Log-Evidence    0.424677706857431349E+04 +/-    0.107752597486038182E+01

Dim No.       Mean        Sigma
   1    0.249969313763089111E-01    0.257769512938370338E-04
   2    0.250004962065413679E-01    0.184618158659444090E-04
   3    0.498212004959239396E+00    0.187630623730023517E-01
   4    0.606187208312991928E+02    0.156692921135365237E+01
   5    0.718142932749592754E-02    0.492596085862001087E-03
   6    0.496497099161422539E+00    0.243113595167175969E-01
   7    0.356730093439854201E+01    0.294679546556480092E-01
   8    0.337313854223985883E-02    0.422629493462753185E-02
   9    0.154994511015460940E+00    0.667253147071976242E-02
  10    0.664012375578855618E+00    0.209609551022817975E-01
  11    0.893185904440518641E+02    0.289952655356061140E+01
  12    0.193352974425988589E+00    0.238156268547335716E-02
  13   -0.278219409632990897E-01    0.875711797426064094E-02
  14   -0.221765675779424833E-01    0.110802211591960352E-02
  15    0.762090730545754824E+00    0.310836171353127749E-02
  16    0.811042646517860675E+02    0.935483525683845962E+00
  17    0.554201345469698889E-01    0.462855947954811788E-03
  18    0.590247662446352961E+00    0.116905450772333635E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.249949366253123216E-01
   2    0.250045983251193892E-01
   3    0.510937006383550885E+00
   4    0.633101277036729471E+02
   5    0.696979748558734617E-02
   6    0.508245691535553434E+00
   7    0.359337629547356263E+01
   8    0.104372665636661890E-01
   9    0.164190723032027752E+00
  10    0.698704875012060578E+00
  11    0.857544559057933498E+02
  12    0.194916734033334815E+00
  13   -0.350749828147982334E-01
  14   -0.219450395120900192E-01
  15    0.757172002806041800E+00
  16    0.821978780312475976E+02
  17    0.549030199223205853E-01
  18    0.589193379569728171E+00

MAP Parameters
Dim No.        Parameter
   1    0.249949366253123216E-01
   2    0.250045983251193892E-01
   3    0.510937006383550885E+00
   4    0.633101277036729471E+02
   5    0.696979748558734617E-02
   6    0.508245691535553434E+00
   7    0.359337629547356263E+01
   8    0.104372665636661890E-01
   9    0.164190723032027752E+00
  10    0.698704875012060578E+00
  11    0.857544559057933498E+02
  12    0.194916734033334815E+00
  13   -0.350749828147982334E-01
  14   -0.219450395120900192E-01
  15    0.757172002806041800E+00
  16    0.821978780312475976E+02
  17    0.549030199223205853E-01
  18    0.589193379569728171E+00
