Nested Sampling Global Log-Evidence           :    0.660647628905621241E+04  +/-    0.588803074166984963E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.660647628905621241E+04 +/-    0.588803074166984963E+00
Local Log-Evidence    0.660647628905621241E+04 +/-    0.588803074166984963E+00

Dim No.       Mean        Sigma
   1   -0.107857063777378067E-03    0.184966015630004901E-02
   2   -0.868793791115943020E-03    0.156117687910978351E-02
   3    0.207845471907176060E+00    0.310757210632697355E-02
   4    0.167763886495313447E-02    0.113425745176528574E-01
   5   -0.213976012275727623E-02    0.650109408380791613E-02
   6    0.160036822845546123E+01    0.106555625896416224E-02
   7    0.190564702566748845E+00    0.239230666847550094E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.264515596547358536E-02
   2   -0.793814535866546231E-03
   3    0.205028000891241929E+00
   4    0.116791342390759195E-01
   5   -0.155853935515179454E-02
   6    0.160085938722447585E+01
   7    0.192294499634656835E+00

MAP Parameters
Dim No.        Parameter
   1    0.264515596547358536E-02
   2   -0.793814535866546231E-03
   3    0.205028000891241929E+00
   4    0.116791342390759195E-01
   5   -0.155853935515179454E-02
   6    0.160085938722447585E+01
   7    0.192294499634656835E+00
