   -0.329558500136554718E-02    0.308310258084528409E-02    0.203093506503109200E+00    0.359101533889770452E-01   -0.570984840393066462E-01    0.114577367519832296E+01    0.272491979598999012E+00   -0.943949097367649665E+05   -0.391195633965034517E+01    1
    0.232522844712371550E-01   -0.202501980904095215E-02    0.196689414078587865E+00    0.592936396598816029E-01   -0.677734613418579102E-02    0.121780557151988011E+01    0.281381821632385232E+00   -0.837941151059943222E+05   -0.393195633965034208E+01    1
   -0.167440944712641260E-01    0.330063139190935259E-01    0.209812222981511753E+00    0.159158110618591309E-01    0.318408250808715765E-01    0.125635496595354068E+01    0.285435962677001942E+00   -0.834912868872560502E+05   -0.395195633965034165E+01    1
   -0.535158304278201494E-02    0.757600050666860318E-02    0.199138892329651235E+00   -0.104206204414367676E-01   -0.643001556396484431E-01    0.186969130640069414E+01    0.295561891794204723E+00   -0.765545151023982908E+05   -0.397195633965034300E+01    1
   -0.659626624385878466E-02    0.846135094040535544E-02    0.192230720186152393E+00   -0.365047454833984375E-01    0.172289013862609863E-01    0.128859158265642826E+01    0.284783345460891735E+00   -0.601015325780546555E+05   -0.399195633965034391E+01    1
    0.174767090484708211E-01    0.254660398411959595E-01    0.194746883293717366E+00    0.736577987670898604E-01   -0.153090238571167020E-01    0.126369091465043182E+01    0.245472121238708485E+00   -0.508253541948176717E+05   -0.401195633965034215E+01    1
    0.235313129624575013E-01    0.434861284876707482E-02    0.214080447553935349E+00   -0.374340415000915527E-01    0.360827565193176381E-01    0.132896821164965684E+01    0.274136996269226052E+00   -0.484087704113449581E+05   -0.403195633965034173E+01    1
    0.235996193917500166E-01   -0.304380590260409055E-01    0.184226089024584871E+00   -0.541926980018615778E-01    0.969534397125244307E-01    0.121096426183514527E+01    0.273876106739044167E+00   -0.477969655700966250E+05   -0.405195633965034396E+01    1
    0.174778515650080811E-01   -0.235593847537041885E-01    0.191579255805016307E+00   -0.895836234092712430E-01    0.284724354743957631E-01    0.127098978151324804E+01    0.289660978317260731E+00   -0.472968674965298706E+05   -0.407195633965034443E+01    1
   -0.214814821311843096E-01    0.719287748223312526E-02    0.205730588432317424E+00    0.211480259895324707E-01    0.554047822952270785E-02    0.131910796095410876E+01    0.224580574035644520E+00   -0.411925532583798631E+05   -0.409195633965034400E+01    1
    0.132082183322080032E-01   -0.154346442965325303E-01    0.208900479373255260E+00   -0.916091203689575195E-01    0.749727487564086359E-02    0.124021694213848566E+01    0.182792544364929199E+00   -0.369372139536377945E+05   -0.411195633965034357E+01    1
    0.926591599258252442E-02   -0.248607014828529267E-01    0.204524644058963395E+00   -0.618379950523376479E-01    0.376242518424987904E-01    0.177302337757371831E+01    0.296491563320159912E+00   -0.320324910691695368E+05   -0.413195633965034226E+01    1
   -0.434098861936965934E-02    0.289113107893184326E-01    0.205105404207068964E+00    0.347968935966491699E-01    0.581211924552917647E-01    0.132995442237514361E+01    0.192169547080993652E+00   -0.305547796825201767E+05   -0.415195633965034450E+01    1
    0.421246537763788273E-01    0.253582824633496878E-01    0.201045360089965708E+00   -0.897269964218139759E-01    0.935862541198730635E-01    0.181528884767466892E+01    0.257399886846542358E+00   -0.277518544836716428E+05   -0.417195633965034762E+01    1
    0.265787827338843062E-01    0.308027228788339876E-02    0.204532374747479456E+00    0.456951856613159457E-02    0.865537881851196345E-01    0.134913522527184071E+01    0.214814937114715582E+00   -0.248684117636110204E+05   -0.419195633965034720E+01    1
   -0.122936843483428798E-01   -0.152328125804755219E-01    0.205983621187228821E+00   -0.158122301101684543E-01    0.842486143112182728E-01    0.122907390351619683E+01    0.104030156135559076E+00   -0.239406628887878833E+05   -0.421195633965034677E+01    1
    0.209413889730500589E-01   -0.114351461108547318E-01    0.194600449530066305E+00   -0.291314959526062095E-01   -0.733886718750000056E-01    0.132021450703358134E+01    0.170406925678253163E+00   -0.231139954891809502E+05   -0.423195633965034279E+01    1
    0.210187092861949150E-01   -0.684843583625265127E-02    0.198309414034034182E+00   -0.798954606056213462E-01   -0.641671180725097712E-01    0.126702131305160637E+01    0.134408694505691512E+00   -0.227271046808018727E+05   -0.425195633965034059E+01    1
