Nested Sampling Global Log-Evidence           :   -0.172655195447210917E+04  +/-    0.114412248721072185E+01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.172655195447210917E+04 +/-    0.114412248721072185E+01
Local Log-Evidence   -0.172655195447210917E+04 +/-    0.114412248721072185E+01

Dim No.       Mean        Sigma
   1    0.732486540436812304E-02    0.166141045306162369E-02
   2   -0.583434734524553196E-02    0.905414492490932477E-03
   3    0.933199364002538223E+00    0.312569947240964310E-02
   4    0.175755642425126553E+03    0.589067467632174657E+00
   5    0.627545241257091435E-01    0.545660924164938915E-03
   6    0.151748291674010027E+01    0.770156933349005514E-02
   7    0.331185962934585509E+01    0.131636151974489149E-01
   8    0.813655711555807265E-03    0.145983723153819244E-03
   9    0.220846880669946094E-01    0.338237949761527895E-04
  10    0.937114942588151534E+00    0.112448120605177068E-03
  11    0.135087875436984973E+03    0.763698213453414820E-01
  12    0.159271874969627625E+01    0.325752675861957540E-04
  13   -0.985498920089200917E-04    0.395767463109969109E-04
  14    0.241322318912381498E-01    0.375977990241679286E-04
  15    0.859540561938406333E+00    0.145585814233748444E-02
  16    0.408500890247739434E+02    0.447913580578890025E+00
  17    0.197138803842086341E-02    0.146740587133997973E-04
  18    0.257078906376914729E+01    0.172631531220892170E-01
  19    0.678615047661594506E+01    0.801705538097025397E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.653013780517714727E-02
   2   -0.587682174348113512E-02
   3    0.932841603218343751E+00
   4    0.175811152203674141E+03
   5    0.629578153811447133E-01
   6    0.151630399795795756E+01
   7    0.330968252715227784E+01
   8    0.850489342950520367E-03
   9    0.221147817168908870E-01
  10    0.937061836384481817E+00
  11    0.135064584490230658E+03
  12    0.159271327178416633E+01
  13   -0.103252703616367312E-03
  14    0.241600323715139599E-01
  15    0.859606891747889845E+00
  16    0.410218099205927302E+02
  17    0.197757527944150777E-02
  18    0.256697838372344789E+01
  19    0.678644499814663948E+01

MAP Parameters
Dim No.        Parameter
   1    0.653013780517714727E-02
   2   -0.587682174348113512E-02
   3    0.932841603218343751E+00
   4    0.175811152203674141E+03
   5    0.629578153811447133E-01
   6    0.151630399795795756E+01
   7    0.330968252715227784E+01
   8    0.850489342950520367E-03
   9    0.221147817168908870E-01
  10    0.937061836384481817E+00
  11    0.135064584490230658E+03
  12    0.159271327178416633E+01
  13   -0.103252703616367312E-03
  14    0.241600323715139599E-01
  15    0.859606891747889845E+00
  16    0.410218099205927302E+02
  17    0.197757527944150777E-02
  18    0.256697838372344789E+01
  19    0.678644499814663948E+01
