   -0.273811273399462041E+00   -0.190773034876952560E-01    0.258246092167501073E+01   -0.501100920599580266E-01   -0.198493068136253413E-01    0.569793201890041900E+00    0.402129257647695984E-01    0.201355093657237139E+00   -0.131792191905273290E-01    0.847437135304292266E-01    0.112951040336641828E+00    0.579703766591778367E+04
   -0.297397720440136626E+00   -0.125590329698312322E-01    0.258150801744336089E+01   -0.411341330568169919E-01   -0.116129671088343010E-01    0.545932033374013970E+00    0.451433350973183059E-01    0.200854566635234683E+00   -0.113214340286887979E-01    0.797029208817983947E-01    0.119339959701460580E+00    0.579968712152702756E+04
   -0.285093593020208869E+00   -0.202153032333399311E-01    0.258142906590117249E+01   -0.480465223879141604E-01   -0.205683928319068017E-01    0.587043108600199592E+00    0.413106451476215608E-01    0.196225347411146528E+00   -0.172161843609345694E-01    0.818394618114005462E-01    0.117948420250265279E+00    0.579983572937393819E+04
   -0.284629108184972224E+00   -0.174890541354189404E-01    0.258383179912581262E+01   -0.452232393452558154E-01   -0.170953137509041210E-01    0.540521860095046769E+00    0.432886576569606191E-01    0.188901045780001609E+00   -0.148347249057276965E-01    0.821749372848275539E-01    0.113803169674648444E+00    0.580037685496530503E+04
   -0.298275505897812154E+00   -0.148073877559697763E-01    0.258376908309733144E+01   -0.470557732005767795E-01   -0.141695419484306282E-01    0.556114796139663414E+00    0.437611660946233202E-01    0.196853528250213683E+00   -0.169277980842595932E-01    0.780786592626467185E-01    0.122254571693635780E+00    0.580118438891890037E+04
   -0.302027275053039890E+00   -0.116437513854361786E-01    0.258478723410912625E+01   -0.480824260504910533E-01   -0.124174075063817058E-01    0.571928926306826679E+00    0.433029021687745819E-01    0.197711280483883978E+00   -0.108022995999349398E-01    0.797840650047142719E-01    0.118196514647934264E+00    0.580135668844708925E+04
   -0.302915398094064203E+00   -0.162584402109829801E-01    0.258086246890375426E+01   -0.440992071315358530E-01   -0.155818316512850857E-01    0.558775094108459491E+00    0.444782815100744286E-01    0.201457505341781473E+00   -0.119468708354408797E-01    0.826936011148138167E-01    0.114966229089989699E+00    0.580191048275559115E+04
   -0.304146545815546954E+00   -0.237318137937862980E-01    0.258609308026703433E+01   -0.460891753040860164E-01   -0.229041611127608381E-01    0.555220036158968866E+00    0.437118739634030085E-01    0.182603626194027147E+00   -0.233312500768398622E-01    0.794093582815390275E-01    0.121955270173835936E+00    0.580194054029558265E+04
   -0.282407208432192858E+00   -0.128410322384866979E-01    0.258263751566943478E+01   -0.486351750703528929E-01   -0.120662847627443660E-01    0.582459809274804896E+00    0.404283930297079860E-01    0.193150125783911247E+00   -0.302108843894218545E-02    0.838015414425155453E-01    0.115648016654664801E+00    0.580217965631463994E+04
   -0.292448120174864379E+00   -0.217970389785558417E-01    0.258275879931528918E+01   -0.486569883937924760E-01   -0.200811125894173534E-01    0.564511769370106387E+00    0.423259329059435044E-01    0.191384889141432840E+00   -0.147314972463600969E-01    0.835922828913934213E-01    0.116557918848622891E+00    0.580246710532864563E+04
   -0.297620819802115855E+00   -0.244268341380818252E-01    0.257987126746846096E+01   -0.451354276303430890E-01   -0.247272773085739882E-01    0.532234199008656872E+00    0.445739805140141915E-01    0.192509027817676454E+00   -0.185084393565783552E-01    0.845281742964431454E-01    0.112651917727308482E+00    0.580250575722894519E+04
   -0.289486695967480334E+00   -0.166443413575747025E-01    0.257981780817194917E+01   -0.452231472663923093E-01   -0.165138475065208304E-01    0.563421218452655359E+00    0.430720514605300100E-01    0.199774259914513752E+00   -0.812871377153024342E-02    0.844625224464178037E-01    0.114351263334217246E+00    0.580291051071669426E+04
   -0.298105246173015925E+00   -0.125351328797173589E-01    0.258456057801708150E+01   -0.441311701463914727E-01   -0.121420400511726267E-01    0.561691342638955038E+00    0.436151633142042305E-01    0.198131441596581415E+00   -0.112814556233981327E-01    0.793311825733333670E-01    0.120339583256199437E+00    0.580298823283090405E+04
   -0.285464145255089619E+00   -0.172624259684901714E-01    0.258430013590485697E+01   -0.475141008216094993E-01   -0.169926197593878933E-01    0.557933490843394941E+00    0.417922832779545061E-01    0.193877943552250881E+00   -0.673801119115472694E-02    0.855168077287551676E-01    0.112366146658552921E+00    0.580306804543417638E+04
