Nested Sampling Global Log-Evidence           :    0.465010725288686081E+04  +/-    0.493290421023522385E+00

Dim No.       Mean        Sigma
   1    0.107538376898301760E+02    0.514548539736870669E+01
   2    0.544913698122384726E+01    0.296132401276414381E+01
   3    0.532895317511026168E+01    0.212072574084996601E+01
   4   -0.237095646589253724E-02    0.504951644213428382E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.147245511788555667E+02
   2    0.942438202862464536E+01
   3    0.305148742548677987E+01
   4   -0.243644269423359816E-02

MAP Parameters
Dim No.        Parameter
   1    0.134959753171799335E+02
   2    0.568665535175681924E+01
   3    0.433221165815933240E+01
   4   -0.201499198563226400E-02
