Nested Sampling Global Log-Evidence           :   -0.103867685988850280E+05  +/-    0.163350011797033390E+01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.103867685988850280E+05 +/-    0.163350011797033390E+01
Local Log-Evidence   -0.103867685988850280E+05 +/-    0.163350011797033390E+01

Dim No.       Mean        Sigma
   1   -0.979333230018988171E-01    0.557290623128651894E-04
   2   -0.107188367456602776E+00    0.103270633446612931E-03
   3    0.482329721111491416E+00    0.182027098446118523E-03
   4    0.485266421504143253E+02    0.142545924343168273E-01
   5    0.174650619927634643E+01    0.145696078997929111E-03
   6    0.119232735048012725E+00    0.695547317033320576E-04
   7    0.678976948984871882E+02    0.384549642281202045E-01
   8    0.495664402477968488E-01    0.119521903459515530E-03
   9    0.747742327120100303E-01    0.896334936730102815E-04
  10    0.848218442977660136E+00    0.516302172240692362E-03
  11    0.140781170641656018E+03    0.224452732757527029E+00
  12    0.157909422436729285E+00    0.175191979263084789E-03
  13    0.154437644250692863E+01    0.120411272980868291E-02
  14    0.310991750982281756E+01    0.992956010830109512E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.979778638187210615E-01
   2   -0.107414003727403409E+00
   3    0.482704844217431983E+00
   4    0.485207687940364991E+02
   5    0.174630423239364707E+01
   6    0.119122700815389823E+00
   7    0.679303036317959226E+02
   8    0.496853046700378373E-01
   9    0.745726439366360960E-01
  10    0.849259166275794231E+00
  11    0.140779430937910291E+03
  12    0.157841663869715210E+00
  13    0.154541050306222205E+01
  14    0.310939674037551228E+01

MAP Parameters
Dim No.        Parameter
   1   -0.979359282402765402E-01
   2   -0.107142454773146142E+00
   3    0.482356078898153795E+00
   4    0.484952467515404066E+02
   5    0.174668021152766118E+01
   6    0.119266623466813104E+00
   7    0.678279087892087347E+02
   8    0.494305190368935360E-01
   9    0.748366175060802830E-01
  10    0.847485757529195860E+00
  11    0.140430007326706487E+03
  12    0.157741093635566487E+00
  13    0.154481290023993290E+01
  14    0.311142732808583578E+01
