Nested Sampling Global Log-Evidence           :    0.433623518908709320E+04  +/-    0.873149260387020898E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.433623518908709320E+04 +/-    0.873149260387020898E+00
Local Log-Evidence    0.433623518908709320E+04 +/-    0.873149260387020898E+00

Dim No.       Mean        Sigma
   1   -0.246710909628647954E-02    0.826349959603870309E-03
   2   -0.110166283000193307E-02    0.862031138344486231E-03
   3    0.697075887178319253E+00    0.252131372685797470E-02
   4    0.450011677871775078E+02    0.233634022788101969E+00
   5    0.160040113322516087E+01    0.984412080988253261E-03
   6    0.503234329118023849E-01    0.827308543416439032E-03
   7    0.897872273845664211E+02    0.468565408163781838E+00
   8    0.993698532341110580E-01    0.690351126667911258E-03
   9    0.997633473825463024E-01    0.643595463469936102E-03
  10    0.801549792224968027E+00    0.295056259008317275E-02
  11    0.606620831411211512E+02    0.504276555276435223E+00
  12    0.310750023530171837E+00    0.532254242827041348E-02
  13    0.978487068470054067E+00    0.983031039256037492E-02
  14    0.246311069193987864E+01    0.179676427512258791E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.278503882396807486E-02
   2   -0.492642426666515870E-03
   3    0.696720308444691794E+00
   4    0.451595479867510079E+02
   5    0.160068484118617049E+01
   6    0.509265755444573837E-01
   7    0.896256842472816402E+02
   8    0.993525918477829589E-01
   9    0.100038998898731871E+00
  10    0.803954789059563524E+00
  11    0.604637310681764362E+02
  12    0.308910792853238081E+00
  13    0.981435073414581138E+00
  14    0.246944159628357696E+01

MAP Parameters
Dim No.        Parameter
   1   -0.189207003186171426E-02
   2   -0.211794822441729825E-02
   3    0.700126224825779575E+00
   4    0.451228230132656662E+02
   5    0.159968699743717568E+01
   6    0.501112585253156509E-01
   7    0.904432411844812520E+02
   8    0.100050656808258948E+00
   9    0.987419866231489807E-01
  10    0.797485983002686361E+00
  11    0.607658366366921783E+02
  12    0.314527660744102711E+00
  13    0.971914355054811829E+00
  14    0.244806204687450313E+01
