    0.523798482279037576E-03    0.999993854794970938E+00    0.999230545221889033E+00    0.947884616028274340E+00    0.674820435763944682E+00    0.884161310185909821E+00    0.800021533830118425E+00    0.999792388978842261E+00    0.662308128929249020E-03    0.999165912539328183E+00    0.155047309810970368E+00    0.460825577416116128E+00    0.891658941476886291E+00   -0.315326471668571059E+06
    0.158686450127454846E-03    0.999947158643428868E+00    0.999745034246910746E+00    0.920993024530076032E+00    0.673989053505014146E+00    0.877136767651915505E+00    0.800015184457093520E+00    0.999970214343736119E+00    0.124874302459590265E-02    0.999018434236488950E+00    0.325052269889628542E+00    0.455176353425415015E+00    0.897132460429028389E+00   -0.315325056907082966E+06
    0.817071091614995264E-03    0.999967946904434246E+00    0.994948454542727845E+00    0.311055984502334681E+00    0.672289137640467493E+00    0.881682626176111262E+00    0.800062342776657331E+00    0.999956467384445435E+00    0.910023653855864862E-04    0.999502491875924659E+00    0.538001202368457165E+00    0.457388601602022493E+00    0.893674848554310786E+00   -0.315323225793914346E+06
    0.131502054089701199E-03    0.999839685958898827E+00    0.998655263913264757E+00    0.244834289065492816E-01    0.674992867665779483E+00    0.881133744043352540E+00    0.800076392255902547E+00    0.999653834676949682E+00    0.393300381063911673E-03    0.999826062497008006E+00    0.629796265455685012E+00    0.459367339345590153E+00    0.898606512554657955E+00   -0.315322275088622875E+06
    0.647032508514552970E-04    0.999816217844245791E+00    0.998361235041658635E+00    0.891927433343160603E+00    0.669232589199730166E+00    0.880892549161074734E+00    0.800007456954222262E+00    0.999793603110607831E+00    0.970449467786675571E-03    0.999722339701234808E+00    0.358868281104831183E-01    0.459765218931457720E+00    0.893779479148822387E+00   -0.315322092489811068E+06
    0.125211819816546752E-03    0.999735494863983609E+00    0.996721793456557759E+00    0.924295603196593096E+00    0.671463963131758268E+00    0.881841297028546300E+00    0.800014128332261376E+00    0.999858245264013790E+00    0.235713884633906057E-03    0.999950629336127550E+00    0.234255534985797043E+00    0.460395182328380281E+00    0.901569312124435807E+00   -0.315321865808602481E+06
    0.487498148713775452E-03    0.999909695769589879E+00    0.999212969183648991E+00    0.464746854734331249E+00    0.672114300090751682E+00    0.885055402140883518E+00    0.800003506871147740E+00    0.999962974095639723E+00    0.868037487802763240E-04    0.999049583011678233E+00    0.419226382432551004E+00    0.456780098003121193E+00    0.899572587722701877E+00   -0.315321773537401750E+06
    0.166056441511271537E-03    0.999810810700507924E+00    0.999598222811148629E+00    0.191088209734031618E-02    0.677220690866638719E+00    0.881758220287944150E+00    0.800043733968607063E+00    0.999928788347203890E+00    0.133981574643311893E-02    0.999853767572110974E+00    0.241802589552231939E+00    0.460449073765385797E+00    0.892084081521247518E+00   -0.315321527789418760E+06
    0.440174440593204923E-04    0.999924118634914816E+00    0.998394413950255522E+00    0.204973183996782521E+00    0.670727644995050110E+00    0.887047127216684994E+00    0.800133228902797478E+00    0.999692239119861048E+00    0.622337989785670892E-04    0.999973194883256644E+00    0.203915387827110939E+00    0.454384173976347616E+00    0.895291589069866389E+00   -0.315321519943427935E+06
    0.280052092249514446E-04    0.999653253046528079E+00    0.996633858985637167E+00    0.684908407234434580E+00    0.673389314673667361E+00    0.879667991137284666E+00    0.800049854731752164E+00    0.999914174939304679E+00    0.269531353931036326E-03    0.999932233142194926E+00    0.298220375769007451E+00    0.461334698221261941E+00    0.889371230422903558E+00   -0.315321085880322265E+06
