Nested Sampling Global Log-Evidence           :    0.357938229374826142E+04  +/-    0.673951639384130607E+00

Dim No.       Mean        Sigma
   1   -0.374856489694222689E-03    0.332432229945214580E-03
   2   -0.590980732488421891E-02    0.502405793509351148E-03
   3    0.678526643527007089E+00    0.121448701562160036E-02
   4    0.434755181613029862E+02    0.285355913982163645E+00
   5    0.160708412299553127E+01    0.384914338705560270E-03
   6    0.452290256794139825E-01    0.978261976494041027E-03
   7    0.872477289774948161E+02    0.186369326129607049E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.567112200107437606E-03
   2   -0.577662370252520277E-02
   3    0.678269562802173320E+00
   4    0.433294365119214078E+02
   5    0.160714991105079341E+01
   6    0.448055551467718138E-01
   7    0.872008472386001756E+02

MAP Parameters
Dim No.        Parameter
   1   -0.519952206989211102E-03
   2   -0.614946489742976103E-02
   3    0.678309423233293018E+00
   4    0.433852113872010321E+02
   5    0.160701287221496569E+01
   6    0.448685913499384803E-01
   7    0.872362449005003810E+02
