Nested Sampling Global Log-Evidence           :    0.430772552216739496E+04  +/-    0.850930272313176861E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.430772552216739496E+04 +/-    0.850930272313176861E+00
Local Log-Evidence    0.430772552216739496E+04 +/-    0.850930272313176861E+00

Dim No.       Mean        Sigma
   1   -0.853407447964681445E-03    0.822450927898019449E-03
   2   -0.260583364610774402E-03    0.824880665705680634E-03
   3    0.700357339680001023E+00    0.253390484718717286E-02
   4    0.451059558645197001E+02    0.248042067767408447E+00
   5    0.160017375008582152E+01    0.103592918403393685E-02
   6    0.503302385603235647E-01    0.868431120042130879E-03
   7    0.900368009608149720E+02    0.476533784326236332E+00
   8    0.992408911102758418E-01    0.657596475168823000E-03
   9    0.999901682283433207E-01    0.623740211044817596E-03
  10    0.804081865410529839E+00    0.304392661968921983E-02
  11    0.604926267036240048E+02    0.540126054710486803E+00
  12    0.312702654614176567E+00    0.482433734958744032E-02
  13    0.971722607565004171E+00    0.892011359590614422E-02
  14    0.245756658014245177E+01    0.158039825541796616E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.143264832671621714E-02
   2   -0.551420069340697412E-03
   3    0.702631166620394154E+00
   4    0.452081175130533950E+02
   5    0.159920394814409894E+01
   6    0.507208528044460205E-01
   7    0.905165499513400533E+02
   8    0.991994090226104852E-01
   9    0.999693790736146393E-01
  10    0.800831676679149451E+00
  11    0.601211919836756152E+02
  12    0.314050889670871858E+00
  13    0.969152129205862134E+00
  14    0.245124965083730251E+01

MAP Parameters
Dim No.        Parameter
   1   -0.119059277330275525E-02
   2    0.787883491770273339E-03
   3    0.701835438790589627E+00
   4    0.456066362804704681E+02
   5    0.159931341313242559E+01
   6    0.523448853854554738E-01
   7    0.903027033208512364E+02
   8    0.985585273749087498E-01
   9    0.101230582071233491E+00
  10    0.807273119207460699E+00
  11    0.595476307173334902E+02
  12    0.312882932843284445E+00
  13    0.972048791479068863E+00
  14    0.245717387560063516E+01
