   -0.234808065825494044E-01    0.450310887789811543E-01    0.823656476332787824E+00    0.133504806245170386E+03    0.160138253352766213E+01    0.563060678216291688E-01    0.108252487421671442E+00    0.789289409599073677E+00    0.948564479245856376E+02    0.107854428345906556E+00    0.156048793776677441E+01    0.197184561621612398E+01   -0.339584726997309190E+02
   -0.233898474082435831E-01    0.447693327925607551E-01    0.823963516322995471E+00    0.133454159994549883E+03    0.160136606666142933E+01    0.561374954928763742E-01    0.107866651846012601E+00    0.788982979871812873E+00    0.948743195964675294E+02    0.107872083599309332E+00    0.156153954243859094E+01    0.197166593352475239E+01   -0.336137110841336835E+02
   -0.234496466232086316E-01    0.444777330614656852E-01    0.823545056456652880E+00    0.133424530092871606E+03    0.160143038278885563E+01    0.561737545467942689E-01    0.108098784453423177E+00    0.789991471052008176E+00    0.948554513132134502E+02    0.107834813013871017E+00    0.155975349913595451E+01    0.197273878809125214E+01   -0.324389954620273784E+02
   -0.234262685397006627E-01    0.449025659954285922E-01    0.823797301359592948E+00    0.133436936316249557E+03    0.160135324050255567E+01    0.562554844432559473E-01    0.108132730967379270E+00    0.788918079910472025E+00    0.948947997870545663E+02    0.107803504370289363E+00    0.155974790530588603E+01    0.197325337008241264E+01   -0.316241883055336075E+02
   -0.240301926369173927E-01    0.444518366701561959E-01    0.822938685373675760E+00    0.133590714881933735E+03    0.160148765265306237E+01    0.562005708597629813E-01    0.108584482305200555E+00    0.790902635474114213E+00    0.948392072174154066E+02    0.107933067793467827E+00    0.155848104419260003E+01    0.197179371401524373E+01   -0.313916741785506019E+02
   -0.235193674342151181E-01    0.447233619048551037E-01    0.823692860197878796E+00    0.133467300028207518E+03    0.160139097860409763E+01    0.561922930735267653E-01    0.108043942086441136E+00    0.789349416759979938E+00    0.948555220222507529E+02    0.107878538734945129E+00    0.156039408833959525E+01    0.197206774775924409E+01   -0.310103494540853717E+02
   -0.234656845520051158E-01    0.451383258319640809E-01    0.823670746817329880E+00    0.133539734595613652E+03    0.160138605287412017E+01    0.563549079611681478E-01    0.108299289977873289E+00    0.789164168694961532E+00    0.948502952768954515E+02    0.107867145142401102E+00    0.156098003015138143E+01    0.197135835547304406E+01   -0.308846312766254414E+02
   -0.239438034062816121E-01    0.443477042912413175E-01    0.823023758691368013E+00    0.133619777838833954E+03    0.160149644960343585E+01    0.561073147639934086E-01    0.108210392346465095E+00    0.790503232708421377E+00    0.948302866404482643E+02    0.107978094099931157E+00    0.156077051072319817E+01    0.197054045495178021E+01   -0.305221691813203506E+02
   -0.236230826388689787E-01    0.446096140215883827E-01    0.823397855138400692E+00    0.133523332301681478E+03    0.160144086463209723E+01    0.562080517391803369E-01    0.108297507760623982E+00    0.789991130520627083E+00    0.948429990791360495E+02    0.107867695259672394E+00    0.155991960859851719E+01    0.197199263627288146E+01   -0.304936995177704375E+02
   -0.237384633889077719E-01    0.443964445192355714E-01    0.823477574865903783E+00    0.133472057888537535E+03    0.160143116616253178E+01    0.561298412122240853E-01    0.108046156451875139E+00    0.790093495293349601E+00    0.948369372370516572E+02    0.107924753006983440E+00    0.155970111052379545E+01    0.197199445836894127E+01   -0.302567922228190582E+02
