Nested Sampling Global Log-Evidence           :    0.682023145429778015E+04  +/-    0.930915232080509303E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.682023145429778015E+04 +/-    0.930915232080509303E+00
Local Log-Evidence    0.682023145429778015E+04 +/-    0.930915232080509303E+00

Dim No.       Mean        Sigma
   1   -0.207061077188813334E-02    0.333393114074379557E-02
   2   -0.838288786008295483E-02    0.247213754375872003E-02
   3    0.878551755769873544E+00    0.177367634164728241E-01
   4    0.724929256476207371E+02    0.393557522700218732E+01
   5    0.201532944665260456E-01    0.108396063112287263E-02
   6    0.668568884605026170E+00    0.141897963221329550E-01
   7    0.532877473468418117E+01    0.286919015434415281E+00
   8    0.889256774325209234E-02    0.347823357229302098E-02
   9    0.389293878783498895E-02    0.262771847390518877E-02
  10    0.742380542397108267E+00    0.644289788586014343E-02
  11    0.449511560051636607E+02    0.737921291355261744E+00
  12    0.799120955152409107E+00    0.126697483144778099E-02
  13    0.934387238713832620E-02    0.161471423405582090E-02
  14    0.315111993835908441E-02    0.151561539510149655E-02
  15    0.664785439573557180E+00    0.195102714175798102E-01
  16    0.937241756247601927E+02    0.707357507263239649E+00
  17    0.124287062158633568E+00    0.208072416010067658E-02
  18    0.154698929652698353E+00    0.306189398820096246E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.154751908503365787E-02
   2   -0.108285255057269641E-01
   3    0.875624534858933767E+00
   4    0.723887790741012225E+02
   5    0.211095885227171563E-01
   6    0.659502889042865026E+00
   7    0.507897811522534859E+01
   8    0.886662475632173791E-02
   9    0.510020041753957327E-02
  10    0.750704734635319948E+00
  11    0.452676757396706435E+02
  12    0.800006738681137808E+00
  13    0.933845876805706153E-02
  14    0.402876511671598249E-02
  15    0.668236445088133513E+00
  16    0.938926814331340154E+02
  17    0.126227999947842617E+00
  18    0.149846925496961547E+00

MAP Parameters
Dim No.        Parameter
   1   -0.154751908503365787E-02
   2   -0.108285255057269641E-01
   3    0.875624534858933767E+00
   4    0.723887790741012225E+02
   5    0.211095885227171563E-01
   6    0.659502889042865026E+00
   7    0.507897811522534859E+01
   8    0.886662475632173791E-02
   9    0.510020041753957327E-02
  10    0.750704734635319948E+00
  11    0.452676757396706435E+02
  12    0.800006738681137808E+00
  13    0.933845876805706153E-02
  14    0.402876511671598249E-02
  15    0.668236445088133513E+00
  16    0.938926814331340154E+02
  17    0.126227999947842617E+00
  18    0.149846925496961547E+00
